scenario,model,count,mean_dbm,std_dbm,min_dbm,max_dbm,excellent_pct,good_pct,fair_pct,poor_pct,no_service_pct
scenario_open_field,free_space,10,-32.98,4.45,-39.43,-25.21,100.0,0.0,0.0,0.0,0.0
scenario_open_field,hybrid,10,-34.31,4.67,-41.09,-26.15,100.0,0.0,0.0,0.0,0.0
scenario_open_field,3gpp_umi,10,-34.31,4.67,-41.09,-26.15,100.0,0.0,0.0,0.0,0.0
scenario_open_field,ray_tracing,10,-32.98,4.45,-39.43,-25.21,100.0,0.0,0.0,0.0,0.0
scenario_open_field,3gpp_uma,10,-31.29,4.89,-38.39,-22.75,100.0,0.0,0.0,0.0,0.0
scenario_dense_urban,free_space,10,-53.44,35.18,-150.00,-32.95,80.0,10.0,0.0,0.0,10.0
scenario_dense_urban,hybrid,10,-48.99,33.89,-150.00,-34.28,90.0,0.0,0.0,0.0,10.0
scenario_dense_urban,3gpp_umi,10,-57.64,36.58,-150.00,-34.28,70.0,10.0,10.0,0.0,10.0
scenario_dense_urban,ray_tracing,10,-47.31,34.48,-150.00,-32.95,90.0,0.0,0.0,0.0,10.0
scenario_dense_urban,3gpp_uma,10,-54.95,37.29,-150.00,-31.26,80.0,0.0,10.0,0.0,10.0
scenario_street_canyon,free_space,10,-61.05,45.49,-150.00,-23.61,80.0,0.0,0.0,0.0,20.0
scenario_street_canyon,hybrid,10,-56.77,46.82,-150.00,-24.47,80.0,0.0,0.0,0.0,20.0
scenario_street_canyon,3gpp_umi,10,-65.97,44.62,-150.00,-24.47,70.0,10.0,0.0,0.0,20.0
scenario_street_canyon,ray_tracing,10,-54.64,47.86,-150.00,-23.17,80.0,0.0,0.0,0.0,20.0
scenario_street_canyon,3gpp_uma,10,-63.31,45.83,-150.00,-20.99,80.0,0.0,0.0,0.0,20.0
scenario_elevated_macro,free_space,10,-32.85,39.55,-150.00,-15.93,90.0,0.0,0.0,0.0,10.0
scenario_elevated_macro,hybrid,10,-32.74,39.15,-150.00,-17.41,90.0,0.0,0.0,0.0,10.0
scenario_elevated_macro,3gpp_umi,10,-35.68,39.52,-150.00,-17.41,90.0,0.0,0.0,0.0,10.0
scenario_elevated_macro,ray_tracing,10,-30.37,39.97,-150.00,-13.95,90.0,0.0,0.0,0.0,10.0
scenario_elevated_macro,3gpp_uma,10,-33.11,40.31,-150.00,-14.54,90.0,0.0,0.0,0.0,10.0
scenario_indoor_outdoor,free_space,10,-76.00,49.53,-150.00,-29.65,70.0,0.0,0.0,0.0,30.0
scenario_indoor_outdoor,hybrid,10,-69.76,52.66,-150.00,-30.81,70.0,0.0,0.0,0.0,30.0
scenario_indoor_outdoor,3gpp_umi,10,-82.90,46.93,-150.00,-30.81,50.0,20.0,0.0,0.0,30.0
scenario_indoor_outdoor,ray_tracing,10,-68.53,53.54,-150.00,-27.83,70.0,0.0,0.0,0.0,30.0
scenario_indoor_outdoor,3gpp_uma,10,-80.68,48.31,-150.00,-27.63,60.0,10.0,0.0,0.0,30.0
